Local Authority,Specimen date,Cases (new),Cumulative cases,"Cumulative incidence per 100,000 population",Testing episodes (new),Cumulative testing episodes
Unknown,05/07/2020,0,136,,33,4484
Unknown,04/07/2020,1,136,,37,4451
Unknown,03/07/2020,1,135,,45,4414
Unknown,02/07/2020,0,134,,55,4369
Unknown,01/07/2020,0,134,,37,4314
Unknown,30/06/2020,0,134,,45,4277
Unknown,29/06/2020,1,134,,48,4232
Unknown,28/06/2020,0,133,,23,4184
Unknown,27/06/2020,0,133,,63,4161
Unknown,26/06/2020,0,133,,66,4098
Unknown,25/06/2020,2,133,,93,4032
Unknown,24/06/2020,5,131,,75,3939
Unknown,23/06/2020,15,126,,141,3864
Unknown,22/06/2020,4,111,,131,3723
Unknown,21/06/2020,4,107,,114,3592
Unknown,20/06/2020,1,103,,43,3478
Unknown,19/06/2020,14,102,,136,3435
Unknown,18/06/2020,3,88,,103,3299
Unknown,17/06/2020,0,85,,31,3196
Unknown,16/06/2020,0,85,,34,3165
Unknown,15/06/2020,1,85,,31,3131
Unknown,14/06/2020,0,84,,14,3100
Unknown,13/06/2020,0,84,,18,3086
Unknown,12/06/2020,0,84,,72,3068
Unknown,11/06/2020,0,84,,35,2996
Unknown,10/06/2020,1,84,,50,2961
Unknown,09/06/2020,0,83,,68,2911
Unknown,08/06/2020,0,83,,56,2843
Unknown,07/06/2020,0,83,,54,2787
Unknown,06/06/2020,0,83,,40,2733
Unknown,05/06/2020,0,83,,65,2693
Unknown,04/06/2020,0,83,,98,2628
Unknown,03/06/2020,0,83,,128,2530
Unknown,02/06/2020,1,83,,76,2402
Unknown,01/06/2020,0,82,,105,2326
Unknown,31/05/2020,0,82,,45,2221
Unknown,30/05/2020,1,82,,34,2176
Unknown,29/05/2020,0,81,,81,2142
Unknown,28/05/2020,0,81,,55,2061
Unknown,27/05/2020,0,81,,44,2006
Unknown,26/05/2020,0,81,,43,1962
Unknown,25/05/2020,1,81,,41,1919
Unknown,24/05/2020,1,80,,20,1878
Unknown,23/05/2020,0,79,,59,1858
Unknown,22/05/2020,0,79,,29,1799
Unknown,21/05/2020,0,79,,33,1770
Unknown,20/05/2020,0,79,,37,1737
Unknown,19/05/2020,3,79,,44,1700
Unknown,18/05/2020,2,76,,12,1656
Unknown,17/05/2020,1,74,,22,1644
Unknown,16/05/2020,1,73,,29,1622
Unknown,15/05/2020,0,72,,33,1593
Unknown,14/05/2020,0,72,,20,1560
Unknown,13/05/2020,2,72,,42,1540
Unknown,12/05/2020,1,70,,32,1498
Unknown,11/05/2020,0,69,,13,1466
Unknown,10/05/2020,0,69,,18,1453
Unknown,09/05/2020,0,69,,15,1435
Unknown,08/05/2020,0,69,,16,1420
Unknown,07/05/2020,0,69,,45,1404
Unknown,06/05/2020,1,69,,59,1359
Unknown,05/05/2020,1,68,,61,1300
Unknown,04/05/2020,1,67,,2,1239
Unknown,03/05/2020,0,66,,5,1237
Unknown,02/05/2020,0,66,,9,1232
Unknown,01/05/2020,0,66,,15,1223
Unknown,30/04/2020,0,66,,18,1208
Unknown,29/04/2020,0,66,,12,1190
Unknown,28/04/2020,1,66,,6,1178
Unknown,27/04/2020,1,65,,33,1172
Unknown,26/04/2020,1,64,,11,1139
Unknown,25/04/2020,0,63,,9,1128
Unknown,24/04/2020,3,63,,32,1119
Unknown,23/04/2020,0,60,,33,1087
Unknown,22/04/2020,1,60,,16,1054
Unknown,21/04/2020,1,59,,10,1038
Unknown,20/04/2020,1,58,,19,1028
Unknown,19/04/2020,2,57,,7,1009
Unknown,18/04/2020,1,55,,9,1002
Unknown,17/04/2020,1,54,,7,993
Unknown,16/04/2020,0,53,,13,986
Unknown,15/04/2020,1,53,,8,973
Unknown,14/04/2020,3,52,,18,965
Unknown,13/04/2020,2,49,,8,947
Unknown,12/04/2020,2,47,,11,939
Unknown,11/04/2020,0,45,,6,928
Unknown,10/04/2020,1,45,,11,922
Unknown,09/04/2020,0,44,,13,911
Unknown,08/04/2020,1,44,,20,898
Unknown,07/04/2020,2,43,,19,878
Unknown,06/04/2020,1,41,,14,859
Unknown,05/04/2020,1,40,,5,845
Unknown,04/04/2020,1,39,,14,840
Unknown,03/04/2020,5,38,,30,826
Unknown,02/04/2020,1,33,,37,796
Unknown,01/04/2020,3,32,,42,759
Unknown,31/03/2020,2,29,,30,717
Unknown,30/03/2020,4,27,,35,687
Unknown,29/03/2020,1,23,,20,652
Unknown,28/03/2020,0,22,,18,632
Unknown,27/03/2020,5,22,,44,614
Unknown,26/03/2020,2,17,,35,570
Unknown,25/03/2020,5,15,,53,535
Unknown,24/03/2020,5,10,,38,482
Unknown,23/03/2020,1,5,,28,444
Unknown,22/03/2020,0,4,,13,416
Unknown,21/03/2020,0,4,,7,403
Unknown,20/03/2020,0,4,,18,396
Unknown,19/03/2020,0,4,,17,378
Unknown,18/03/2020,1,4,,13,361
Unknown,17/03/2020,0,3,,281,348
Unknown,16/03/2020,0,3,,2,67
Unknown,15/03/2020,0,3,,7,65
Unknown,14/03/2020,2,3,,4,58
Unknown,13/03/2020,0,1,,1,54
Unknown,12/03/2020,0,1,,5,53
Unknown,11/03/2020,0,1,,3,48
Unknown,10/03/2020,0,1,,1,45
Unknown,09/03/2020,0,1,,0,44
Unknown,08/03/2020,0,1,,0,44
Unknown,07/03/2020,1,1,,1,44
Unknown,06/03/2020,0,0,,1,43
Unknown,05/03/2020,0,0,,1,42
Unknown,04/03/2020,0,0,,0,41
Unknown,03/03/2020,0,0,,1,41
Unknown,02/03/2020,0,0,,1,40
Unknown,01/03/2020,0,0,,7,39
Unknown,29/02/2020,0,0,,1,32
Unknown,28/02/2020,0,0,,1,31
Unknown,27/02/2020,0,0,,6,30
Unknown,26/02/2020,0,0,,0,24
Unknown,25/02/2020,0,0,,2,24
Unknown,24/02/2020,0,0,,0,22
Unknown,23/02/2020,0,0,,2,22
Unknown,22/02/2020,0,0,,2,20
Unknown,21/02/2020,0,0,,1,18
Unknown,20/02/2020,0,0,,1,17
Unknown,19/02/2020,0,0,,1,16
Unknown,18/02/2020,0,0,,1,15
Unknown,17/02/2020,0,0,,0,14
Unknown,16/02/2020,0,0,,2,14
Unknown,15/02/2020,0,0,,1,12
Unknown,14/02/2020,0,0,,1,11
Unknown,13/02/2020,0,0,,1,10
Unknown,12/02/2020,0,0,,0,9
Unknown,11/02/2020,0,0,,0,9
Unknown,10/02/2020,0,0,,0,9
Unknown,09/02/2020,0,0,,1,9
Unknown,08/02/2020,0,0,,3,8
Unknown,07/02/2020,0,0,,0,5
Unknown,06/02/2020,0,0,,3,5
Unknown,05/02/2020,0,0,,0,2
Unknown,04/02/2020,0,0,,0,2
Unknown,03/02/2020,0,0,,2,2
Vale of Glamorgan,29/07/2020,0,782,585.4,0,10430
Vale of Glamorgan,28/07/2020,0,782,585.4,19,10430
Vale of Glamorgan,27/07/2020,0,782,585.4,99,10411
Vale of Glamorgan,26/07/2020,0,782,585.4,45,10312
Vale of Glamorgan,25/07/2020,0,782,585.4,60,10267
Vale of Glamorgan,24/07/2020,1,782,585.4,151,10207
Vale of Glamorgan,23/07/2020,1,781,584.6,140,10056
Vale of Glamorgan,22/07/2020,2,780,583.9,168,9916
Vale of Glamorgan,21/07/2020,3,778,582.4,139,9748
Vale of Glamorgan,20/07/2020,3,775,580.1,103,9609
Vale of Glamorgan,19/07/2020,0,772,577.9,49,9506
Vale of Glamorgan,18/07/2020,0,772,577.9,77,9457
Vale of Glamorgan,17/07/2020,1,772,577.9,183,9380
Vale of Glamorgan,16/07/2020,0,771,577.2,75,9197
Vale of Glamorgan,15/07/2020,1,771,577.2,206,9122
Vale of Glamorgan,14/07/2020,1,770,576.4,99,8916
Vale of Glamorgan,13/07/2020,1,769,575.7,137,8817
Vale of Glamorgan,12/07/2020,0,768,574.9,43,8680
Vale of Glamorgan,11/07/2020,0,768,574.9,128,8637
Vale of Glamorgan,10/07/2020,3,768,574.9,174,8509
Vale of Glamorgan,09/07/2020,0,765,572.7,129,8335
Vale of Glamorgan,08/07/2020,0,765,572.7,189,8206
Vale of Glamorgan,07/07/2020,1,765,572.7,105,8017
Vale of Glamorgan,06/07/2020,2,764,571.9,185,7912
Vale of Glamorgan,05/07/2020,2,762,570.4,74,7727
Vale of Glamorgan,04/07/2020,0,760,568.9,90,7653
Vale of Glamorgan,03/07/2020,1,760,568.9,114,7563
Vale of Glamorgan,02/07/2020,1,759,568.2,117,7449
Vale of Glamorgan,01/07/2020,2,758,567.4,181,7332
Vale of Glamorgan,30/06/2020,2,756,565.9,104,7151
Vale of Glamorgan,29/06/2020,1,754,564.4,92,7047
Vale of Glamorgan,28/06/2020,0,753,563.7,42,6955
Vale of Glamorgan,27/06/2020,1,753,563.7,48,6913
Vale of Glamorgan,26/06/2020,0,752,562.9,72,6865
Vale of Glamorgan,25/06/2020,1,752,562.9,101,6793
Vale of Glamorgan,24/06/2020,0,751,562.2,129,6692
Vale of Glamorgan,23/06/2020,1,751,562.2,91,6563
Vale of Glamorgan,22/06/2020,7,750,561.4,102,6472
Vale of Glamorgan,21/06/2020,1,743,556.2,45,6370
Vale of Glamorgan,20/06/2020,3,742,555.4,70,6325
Vale of Glamorgan,19/06/2020,1,739,553.2,136,6255
Vale of Glamorgan,18/06/2020,3,738,552.4,88,6119
Vale of Glamorgan,17/06/2020,5,735,550.2,117,6031
Vale of Glamorgan,16/06/2020,1,730,546.5,85,5914
Vale of Glamorgan,15/06/2020,5,729,545.7,85,5829
Vale of Glamorgan,14/06/2020,5,724,542,60,5744
Vale of Glamorgan,13/06/2020,9,719,538.2,64,5684
Vale of Glamorgan,12/06/2020,6,710,531.5,73,5620
Vale of Glamorgan,11/06/2020,2,704,527,80,5547
Vale of Glamorgan,10/06/2020,5,702,525.5,100,5467
Vale of Glamorgan,09/06/2020,3,697,521.8,105,5367
Vale of Glamorgan,08/06/2020,6,694,519.5,101,5262
Vale of Glamorgan,07/06/2020,2,688,515,63,5161
Vale of Glamorgan,06/06/2020,1,686,513.5,79,5098
Vale of Glamorgan,05/06/2020,3,685,512.8,100,5019
Vale of Glamorgan,04/06/2020,2,682,510.5,147,4919
Vale of Glamorgan,03/06/2020,2,680,509,94,4772
Vale of Glamorgan,02/06/2020,3,678,507.5,87,4678
Vale of Glamorgan,01/06/2020,1,675,505.3,76,4591
Vale of Glamorgan,31/05/2020,2,674,504.5,66,4515
Vale of Glamorgan,30/05/2020,3,672,503,73,4449
Vale of Glamorgan,29/05/2020,4,669,500.8,145,4376
Vale of Glamorgan,28/05/2020,4,665,497.8,51,4231
Vale of Glamorgan,27/05/2020,6,661,494.8,130,4180
Vale of Glamorgan,26/05/2020,5,655,490.3,163,4050
Vale of Glamorgan,25/05/2020,8,650,486.6,109,3887
Vale of Glamorgan,24/05/2020,5,642,480.6,54,3778
Vale of Glamorgan,23/05/2020,2,637,476.8,115,3724
Vale of Glamorgan,22/05/2020,7,635,475.3,209,3609
Vale of Glamorgan,21/05/2020,4,628,470.1,86,3400
Vale of Glamorgan,20/05/2020,5,624,467.1,74,3314
Vale of Glamorgan,19/05/2020,8,619,463.4,96,3240
Vale of Glamorgan,18/05/2020,5,611,457.4,152,3144
Vale of Glamorgan,17/05/2020,3,606,453.6,123,2992
Vale of Glamorgan,16/05/2020,5,603,451.4,218,2869
Vale of Glamorgan,15/05/2020,4,598,447.6,94,2651
Vale of Glamorgan,14/05/2020,5,594,444.7,47,2557
Vale of Glamorgan,13/05/2020,5,589,440.9,51,2510
Vale of Glamorgan,12/05/2020,2,584,437.2,41,2459
Vale of Glamorgan,11/05/2020,6,582,435.7,36,2418
Vale of Glamorgan,10/05/2020,0,576,431.2,24,2382
Vale of Glamorgan,09/05/2020,2,576,431.2,21,2358
Vale of Glamorgan,08/05/2020,3,574,429.7,39,2337
Vale of Glamorgan,07/05/2020,5,571,427.4,49,2298
Vale of Glamorgan,06/05/2020,3,566,423.7,55,2249
Vale of Glamorgan,05/05/2020,6,563,421.4,61,2194
Vale of Glamorgan,04/05/2020,4,557,417,62,2133
Vale of Glamorgan,03/05/2020,6,553,414,34,2071
Vale of Glamorgan,02/05/2020,7,547,409.5,56,2037
Vale of Glamorgan,01/05/2020,4,540,404.2,72,1981
Vale of Glamorgan,30/04/2020,7,536,401.2,40,1909
Vale of Glamorgan,29/04/2020,8,529,396,51,1869
Vale of Glamorgan,28/04/2020,4,521,390,52,1818
Vale of Glamorgan,27/04/2020,9,517,387,51,1766
Vale of Glamorgan,26/04/2020,7,508,380.3,28,1715
Vale of Glamorgan,25/04/2020,7,501,375,26,1687
Vale of Glamorgan,24/04/2020,14,494,369.8,81,1661
Vale of Glamorgan,23/04/2020,8,480,359.3,50,1580
Vale of Glamorgan,22/04/2020,8,472,353.3,36,1530
Vale of Glamorgan,21/04/2020,14,464,347.3,57,1494
Vale of Glamorgan,20/04/2020,12,450,336.9,44,1437
Vale of Glamorgan,19/04/2020,14,438,327.9,36,1393
Vale of Glamorgan,18/04/2020,7,424,317.4,47,1357
Vale of Glamorgan,17/04/2020,10,417,312.2,53,1310
Vale of Glamorgan,16/04/2020,12,407,304.7,49,1257
Vale of Glamorgan,15/04/2020,19,395,295.7,55,1208
Vale of Glamorgan,14/04/2020,18,376,281.5,50,1153
Vale of Glamorgan,13/04/2020,12,358,268,35,1103
Vale of Glamorgan,12/04/2020,16,346,259,30,1068
Vale of Glamorgan,11/04/2020,8,330,247,27,1038
Vale of Glamorgan,10/04/2020,17,322,241,39,1011
Vale of Glamorgan,09/04/2020,26,305,228.3,49,972
Vale of Glamorgan,08/04/2020,14,279,208.9,56,923
Vale of Glamorgan,07/04/2020,22,265,198.4,48,867
Vale of Glamorgan,06/04/2020,27,243,181.9,59,819
Vale of Glamorgan,05/04/2020,19,216,161.7,33,760
Vale of Glamorgan,04/04/2020,16,197,147.5,33,727
Vale of Glamorgan,03/04/2020,13,181,135.5,40,694
Vale of Glamorgan,02/04/2020,19,168,125.8,48,654
Vale of Glamorgan,01/04/2020,18,149,111.5,51,606
Vale of Glamorgan,31/03/2020,14,131,98.1,49,555
Vale of Glamorgan,30/03/2020,18,117,87.6,47,506
Vale of Glamorgan,29/03/2020,11,99,74.1,37,459
Vale of Glamorgan,28/03/2020,18,88,65.9,39,422
Vale of Glamorgan,27/03/2020,9,70,52.4,38,383
Vale of Glamorgan,26/03/2020,17,61,45.7,48,345
Vale of Glamorgan,25/03/2020,10,44,32.9,30,297
Vale of Glamorgan,24/03/2020,17,34,25.5,70,267
Vale of Glamorgan,23/03/2020,5,17,12.7,27,197
Vale of Glamorgan,22/03/2020,1,12,9,13,170
Vale of Glamorgan,21/03/2020,5,11,8.2,25,157
Vale of Glamorgan,20/03/2020,1,6,4.5,25,132
Vale of Glamorgan,19/03/2020,2,5,3.7,17,107
Vale of Glamorgan,18/03/2020,2,3,2.2,7,90
Vale of Glamorgan,17/03/2020,0,1,0.7,14,83
Vale of Glamorgan,16/03/2020,0,1,0.7,6,69
Vale of Glamorgan,15/03/2020,0,1,0.7,6,63
Vale of Glamorgan,14/03/2020,1,1,0.7,8,57
Vale of Glamorgan,13/03/2020,0,0,0,13,49
Vale of Glamorgan,12/03/2020,0,0,0,2,36
Vale of Glamorgan,11/03/2020,0,0,0,6,34
Vale of Glamorgan,10/03/2020,0,0,0,0,28
Vale of Glamorgan,09/03/2020,0,0,0,0,28
Vale of Glamorgan,08/03/2020,0,0,0,0,28
Vale of Glamorgan,07/03/2020,0,0,0,0,28
Vale of Glamorgan,06/03/2020,0,0,0,1,28
Vale of Glamorgan,05/03/2020,0,0,0,3,27
Vale of Glamorgan,04/03/2020,0,0,0,0,24
Vale of Glamorgan,03/03/2020,0,0,0,4,24
Vale of Glamorgan,02/03/2020,0,0,0,4,20
Vale of Glamorgan,01/03/2020,0,0,0,0,16
Vale of Glamorgan,29/02/2020,0,0,0,2,16
Vale of Glamorgan,28/02/2020,0,0,0,0,14
Vale of Glamorgan,27/02/2020,0,0,0,1,14
Vale of Glamorgan,26/02/2020,0,0,0,3,13
Vale of Glamorgan,25/02/2020,0,0,0,0,10
Vale of Glamorgan,24/02/2020,0,0,0,0,10
Vale of Glamorgan,23/02/2020,0,0,0,0,10
Vale of Glamorgan,22/02/2020,0,0,0,0,10
Vale of Glamorgan,21/02/2020,0,0,0,0,10
Vale of Glamorgan,20/02/2020,0,0,0,0,10
Vale of Glamorgan,19/02/2020,0,0,0,2,10
Vale of Glamorgan,18/02/2020,0,0,0,1,8
Vale of Glamorgan,17/02/2020,0,0,0,0,7
Vale of Glamorgan,16/02/2020,0,0,0,0,7
Vale of Glamorgan,15/02/2020,0,0,0,1,7
Vale of Glamorgan,14/02/2020,0,0,0,0,6
Vale of Glamorgan,13/02/2020,0,0,0,0,6
Vale of Glamorgan,12/02/2020,0,0,0,1,6
Vale of Glamorgan,11/02/2020,0,0,0,1,5
Vale of Glamorgan,10/02/2020,0,0,0,0,4
Vale of Glamorgan,09/02/2020,0,0,0,1,4
Vale of Glamorgan,08/02/2020,0,0,0,3,3
Vale of Glamorgan,07/02/2020,0,0,0,0,0
Vale of Glamorgan,06/02/2020,0,0,0,0,0
Vale of Glamorgan,05/02/2020,0,0,0,0,0
Vale of Glamorgan,04/02/2020,0,0,0,0,0
Vale of Glamorgan,03/02/2020,0,0,0,0,0
Wrexham,29/07/2020,0,1304,959.1,2,13443
Wrexham,28/07/2020,1,1304,959.1,32,13441
Wrexham,27/07/2020,2,1303,958.4,180,13409
Wrexham,26/07/2020,18,1301,956.9,161,13229
Wrexham,25/07/2020,9,1283,943.7,193,13068
Wrexham,24/07/2020,11,1274,937.1,226,12875
Wrexham,23/07/2020,13,1263,929,185,12649
Wrexham,22/07/2020,6,1250,919.4,388,12464
Wrexham,21/07/2020,11,1244,915,126,12076
Wrexham,20/07/2020,16,1233,906.9,188,11950
Wrexham,19/07/2020,3,1217,895.1,45,11762
Wrexham,18/07/2020,4,1214,892.9,74,11717
Wrexham,17/07/2020,4,1210,890,242,11643
Wrexham,16/07/2020,4,1206,887,156,11401
Wrexham,15/07/2020,5,1202,884.1,124,11245
Wrexham,14/07/2020,6,1197,880.4,135,11121
Wrexham,13/07/2020,7,1191,876,129,10986
Wrexham,12/07/2020,0,1184,870.9,52,10857
Wrexham,11/07/2020,1,1184,870.9,94,10805
Wrexham,10/07/2020,5,1183,870.1,133,10711
Wrexham,09/07/2020,7,1178,866.5,197,10578
Wrexham,08/07/2020,6,1171,861.3,185,10381
Wrexham,07/07/2020,4,1165,856.9,124,10196
Wrexham,06/07/2020,10,1161,853.9,162,10072
Wrexham,05/07/2020,3,1151,846.6,70,9910
Wrexham,04/07/2020,0,1148,844.4,83,9840
Wrexham,03/07/2020,3,1148,844.4,158,9757
Wrexham,02/07/2020,9,1145,842.2,150,9599
Wrexham,01/07/2020,10,1136,835.6,162,9449
Wrexham,30/06/2020,13,1126,828.2,165,9287
Wrexham,29/06/2020,14,1113,818.6,186,9122
Wrexham,28/06/2020,8,1099,808.3,74,8936
Wrexham,27/06/2020,8,1091,802.5,59,8862
Wrexham,26/06/2020,4,1083,796.6,132,8803
Wrexham,25/06/2020,33,1079,793.6,197,8671
Wrexham,24/06/2020,12,1046,769.4,147,8474
Wrexham,23/06/2020,68,1034,760.5,322,8327
Wrexham,22/06/2020,26,966,710.5,283,8005
Wrexham,21/06/2020,52,940,691.4,307,7722
Wrexham,20/06/2020,15,888,653.1,117,7415
Wrexham,19/06/2020,9,873,642.1,123,7298
Wrexham,18/06/2020,11,864,635.5,107,7175
Wrexham,17/06/2020,12,853,627.4,117,7068
Wrexham,16/06/2020,27,841,618.6,115,6951
Wrexham,15/06/2020,12,814,598.7,87,6836
Wrexham,14/06/2020,12,802,589.9,70,6749
Wrexham,13/06/2020,6,790,581.1,84,6679
Wrexham,12/06/2020,14,784,576.7,132,6595
Wrexham,11/06/2020,18,770,566.4,180,6463
Wrexham,10/06/2020,8,752,553.1,108,6283
Wrexham,09/06/2020,10,744,547.2,126,6175
Wrexham,08/06/2020,7,734,539.9,219,6049
Wrexham,07/06/2020,3,727,534.7,134,5830
Wrexham,06/06/2020,3,724,532.5,131,5696
Wrexham,05/06/2020,7,721,530.3,197,5565
Wrexham,04/06/2020,8,714,525.2,379,5368
Wrexham,03/06/2020,7,706,519.3,345,4989
Wrexham,02/06/2020,7,699,514.1,189,4644
Wrexham,01/06/2020,6,692,509,220,4455
Wrexham,31/05/2020,3,686,504.6,63,4235
Wrexham,30/05/2020,8,683,502.4,84,4172
Wrexham,29/05/2020,15,675,496.5,216,4088
Wrexham,28/05/2020,9,660,485.4,130,3872
Wrexham,27/05/2020,13,651,478.8,122,3742
Wrexham,26/05/2020,13,638,469.3,187,3620
Wrexham,25/05/2020,11,625,459.7,116,3433
Wrexham,24/05/2020,21,614,451.6,158,3317
Wrexham,23/05/2020,11,593,436.2,177,3159
Wrexham,22/05/2020,16,582,428.1,139,2982
Wrexham,21/05/2020,13,566,416.3,136,2843
Wrexham,20/05/2020,11,553,406.7,136,2707
Wrexham,19/05/2020,34,542,398.7,120,2571
Wrexham,18/05/2020,15,508,373.6,88,2451
Wrexham,17/05/2020,5,493,362.6,43,2363
Wrexham,16/05/2020,10,488,358.9,101,2320
Wrexham,15/05/2020,20,478,351.6,117,2219
Wrexham,14/05/2020,10,458,336.9,86,2102
Wrexham,13/05/2020,10,448,329.5,84,2016
Wrexham,12/05/2020,12,438,322.2,85,1932
Wrexham,11/05/2020,19,426,313.3,85,1847
Wrexham,10/05/2020,14,407,299.4,158,1762
Wrexham,09/05/2020,11,393,289.1,64,1604
Wrexham,08/05/2020,4,382,281,47,1540
Wrexham,07/05/2020,11,378,278,61,1493
Wrexham,06/05/2020,10,367,269.9,83,1432
Wrexham,05/05/2020,7,357,262.6,44,1349
Wrexham,04/05/2020,11,350,257.4,60,1305
Wrexham,03/05/2020,32,339,249.3,68,1245
Wrexham,02/05/2020,12,307,225.8,57,1177
Wrexham,01/05/2020,10,295,217,51,1120
Wrexham,30/04/2020,20,285,209.6,79,1069
Wrexham,29/04/2020,9,265,194.9,54,990
Wrexham,28/04/2020,4,256,188.3,26,936
Wrexham,27/04/2020,16,252,185.4,57,910
Wrexham,26/04/2020,2,236,173.6,17,853
Wrexham,25/04/2020,1,234,172.1,5,836
Wrexham,24/04/2020,10,233,171.4,33,831
Wrexham,23/04/2020,7,223,164,23,798
Wrexham,22/04/2020,9,216,158.9,28,775
Wrexham,21/04/2020,9,207,152.3,34,747
Wrexham,20/04/2020,10,198,145.6,43,713
Wrexham,19/04/2020,6,188,138.3,20,670
Wrexham,18/04/2020,5,182,133.9,23,650
Wrexham,17/04/2020,13,177,130.2,44,627
Wrexham,16/04/2020,19,164,120.6,31,583
Wrexham,15/04/2020,14,145,106.7,28,552
Wrexham,14/04/2020,13,131,96.4,33,524
Wrexham,13/04/2020,6,118,86.8,12,491
Wrexham,12/04/2020,7,112,82.4,15,479
Wrexham,11/04/2020,5,105,77.2,19,464
Wrexham,10/04/2020,9,100,73.6,22,445
Wrexham,09/04/2020,9,91,66.9,28,423
Wrexham,08/04/2020,8,82,60.3,19,395
Wrexham,07/04/2020,10,74,54.4,29,376
Wrexham,06/04/2020,3,64,47.1,13,347
Wrexham,05/04/2020,4,61,44.9,10,334
Wrexham,04/04/2020,6,57,41.9,27,324
Wrexham,03/04/2020,3,51,37.5,23,297
Wrexham,02/04/2020,6,48,35.3,17,274
Wrexham,01/04/2020,9,42,30.9,25,257
Wrexham,31/03/2020,5,33,24.3,24,232
Wrexham,30/03/2020,3,28,20.6,25,208
Wrexham,29/03/2020,1,25,18.4,5,183
Wrexham,28/03/2020,3,24,17.7,10,178
Wrexham,27/03/2020,1,21,15.4,13,168
Wrexham,26/03/2020,3,20,14.7,17,155
Wrexham,25/03/2020,5,17,12.5,11,138
Wrexham,24/03/2020,5,12,8.8,23,127
Wrexham,23/03/2020,0,7,5.1,10,104
Wrexham,22/03/2020,2,7,5.1,5,94
Wrexham,21/03/2020,1,5,3.7,4,89
Wrexham,20/03/2020,1,4,2.9,11,85
Wrexham,19/03/2020,1,3,2.2,13,74
Wrexham,18/03/2020,0,2,1.5,2,61
Wrexham,17/03/2020,0,2,1.5,19,59
Wrexham,16/03/2020,0,2,1.5,6,40
Wrexham,15/03/2020,0,2,1.5,8,34
Wrexham,14/03/2020,1,2,1.5,3,26
Wrexham,13/03/2020,0,1,0.7,7,23
Wrexham,12/03/2020,0,1,0.7,3,16
Wrexham,11/03/2020,1,1,0.7,3,13
Wrexham,10/03/2020,0,0,0,4,10
Wrexham,09/03/2020,0,0,0,0,6
Wrexham,08/03/2020,0,0,0,0,6
Wrexham,07/03/2020,0,0,0,0,6
Wrexham,06/03/2020,0,0,0,0,6
Wrexham,05/03/2020,0,0,0,1,6
Wrexham,04/03/2020,0,0,0,0,5
Wrexham,03/03/2020,0,0,0,3,5
Wrexham,02/03/2020,0,0,0,0,2
Wrexham,01/03/2020,0,0,0,0,2
Wrexham,29/02/2020,0,0,0,0,2
Wrexham,28/02/2020,0,0,0,0,2
Wrexham,27/02/2020,0,0,0,0,2
Wrexham,26/02/2020,0,0,0,0,2
Wrexham,25/02/2020,0,0,0,0,2
Wrexham,24/02/2020,0,0,0,0,2
Wrexham,23/02/2020,0,0,0,0,2
Wrexham,22/02/2020,0,0,0,0,2
Wrexham,21/02/2020,0,0,0,0,2
Wrexham,20/02/2020,0,0,0,0,2
Wrexham,19/02/2020,0,0,0,0,2
Wrexham,18/02/2020,0,0,0,0,2
Wrexham,17/02/2020,0,0,0,0,2
Wrexham,16/02/2020,0,0,0,0,2
Wrexham,15/02/2020,0,0,0,0,2
Wrexham,14/02/2020,0,0,0,0,2
Wrexham,13/02/2020,0,0,0,0,2
Wrexham,12/02/2020,0,0,0,0,2
Wrexham,11/02/2020,0,0,0,0,2
Wrexham,10/02/2020,0,0,0,0,2
Wrexham,09/02/2020,0,0,0,0,2
Wrexham,08/02/2020,0,0,0,0,2
Wrexham,07/02/2020,0,0,0,2,2
Wrexham,06/02/2020,0,0,0,0,0
Wrexham,05/02/2020,0,0,0,0,0
Wrexham,04/02/2020,0,0,0,0,0
Wrexham,03/02/2020,0,0,0,0,0
